DATE,BPBLTT01DEQ188S,DE
1977-01-01,0.7,
1977-04-01,0.84,3.7392352804813376
1977-07-01,-0.34,3.7751061845361527
1977-10-01,1.29,3.7768254252979574
1978-01-01,1.21,3.811663593100439
1978-04-01,0.89,3.841375383580474
1978-07-01,1.52,3.8184366518031374
1978-10-01,1.35,3.8727393348270627
1979-01-01,0.44,3.8864503736325973
1979-04-01,-0.47,3.8747716112514876
1979-07-01,-0.8,3.894386375018904
1979-10-01,-1.6,3.9192933232168095
1980-01-01,-1.22,3.944409371909814
1980-04-01,-1.53,3.919051275803509
1980-07-01,-1.57,3.9398130024457347
1980-10-01,-2.38,3.9099065852958383
1981-01-01,-2.17,3.8742339076624006
1981-04-01,-1.19,3.870247113034097
1981-07-01,-0.61,3.8384397008816484
1981-10-01,0.93,3.8989756328623137
1982-01-01,0.03,3.8934953479216876
1982-04-01,0.61,3.9127233769683
1982-07-01,0.81,3.9286211203580708
1982-10-01,1.24,3.9417547011227736
1983-01-01,1.15,3.9843009142077643
1983-04-01,0.49,4.004933294285913
1983-07-01,0.12,3.9855184010030023
1983-10-01,0.24,3.998123255054881
1984-01-01,1.15,3.9776809440714063
1984-04-01,0.38,4.011800643251424
1984-07-01,1.08,4.0010238620491165
1984-10-01,2.58,3.9837620103893774
1985-01-01,1.75,3.9854286260389875
1985-04-01,2.41,4.000258338119779
1985-07-01,2.37,4.021055412392249
1985-10-01,2.93,4.068447417625877
1986-01-01,3.49,4.109534505091579
1986-04-01,3.64,4.136509002508732
1986-07-01,4.03,4.163225803344353
1986-10-01,3.77,4.214012967970865
1987-01-01,3.61,4.253847583145587
1987-04-01,3.67,4.253983495406487
1987-07-01,2.97,4.252921128527937
1987-10-01,3.32,4.259193053880579
1988-01-01,3.03,4.2916986476851315
1988-04-01,4.68,4.28249178406511
1988-07-01,3.61,4.255093218061648
1988-10-01,4.07,4.264235332464632
1989-01-01,4.9,4.255218539966803
1989-04-01,4.32,4.256123588704155
1989-07-01,4.04,4.261042929744995
1989-10-01,3.13,4.275011011414042
1990-01-01,4.23,4.3243360269752795
1990-04-01,3.06,4.329259286439586
1990-07-01,2.61,4.326771970162194
1990-10-01,0.98,4.3479642855038545
1991-01-01,-1.68,
